Seeding Bharat Traders Private Limited @ localhost:9000

=== Phase: Stock Items (15) ===
  + Samsung 24 inch Monitor (HSN 8528, GST 18%)
  + HP Laptop 15s (HSN 8471, GST 18%)
  + Samsung Galaxy Tab A8 (HSN 8471, GST 18%)
  + Dell Desktop Optiplex (HSN 8471, GST 18%)
  + Lenovo Ideapad Slim 3 (HSN 8471, GST 18%)
  + Logitech Wireless Mouse (HSN 8471, GST 18%)
  + Logitech Keyboard K380 (HSN 8471, GST 18%)
  + HP DeskJet Printer 2723 (HSN 8443, GST 18%)
  + TP-Link WiFi Router AC750 (HSN 8517, GST 18%)
  + USB-C Hub 7-in-1 (HSN 8471, GST 18%)
  + A4 Paper Ream 500 sheets (HSN 4802, GST 12%)
  + Whiteboard Marker Set (HSN 9608, GST 12%)
  + Stapler Heavy Duty (HSN 8205, GST 18%)
  + Box File Pack of 10 (HSN 4820, GST 12%)
  + Pen Drive 32GB (HSN 8523, GST 18%)

Done.
